City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,vila franca do campo,37.7167,-25.4333,16.23,92,8,1.64,PT,1681101083
313,xiongyue,40.1774,122.1228,17.58,48,45,7.62,CN,1681101083
314,maceio,-9.6658,-35.7353,23.69,94,40,1.54,BR,1681100626
315,gat,31.61,34.7642,26.33,31,90,5.4,IL,1681101083
316,broken hill,-31.95,141.4333,19.77,35,0,5.01,AU,1681101084
317,teknaf,20.8624,92.3058,32.58,44,0,4.7,BD,1681101084
318,bougouni,11.417,-7.479,26.44,59,95,1.58,ML,1681101084
319,ridgecrest,35.6225,-117.6709,19.68,36,0,2.57,US,1681101020
320,millington,35.3415,-89.8973,12.9,90,100,2.08,US,1681101085
321,mokobeng,-22.9965,27.6678,19.61,47,33,2.16,BW,1681101085
322,moranbah,-22.0016,148.0466,30.83,17,0,1.99,AU,1681101085
323,lethem,3.3803,-59.7968,26.76,52,76,3.44,GY,1681101085
324,turochak,52.2576,87.1224,4.79,65,89,2.17,RU,1681101086
325,mumbwa,-14.9783,27.0619,17.65,88,44,1.03,ZM,1681101086
326,along,28.1667,94.7667,26.15,52,52,2.06,IN,1681101086
327,amahai,-3.3333,128.9167,29.98,66,14,3.35,ID,1681101087
328,clyde river,70.4692,-68.5914,-25.87,70,0,2.57,CA,1681101087
329,jizan,17.3333,42.6667,29.52,55,0,3.08,SA,1681101087
330,hambantota,6.1241,81.1185,30.19,84,20,4.63,LK,1681101088
331,mashhad,36.297,59.6062,13.08,67,70,3.09,IR,1681100808
332,camacha,33.0833,-16.3333,15.68,82,40,6.17,PT,1681101088
333,brcko,44.8728,18.8083,5.98,89,100,2.66,BA,1681101089
334,luderitz,-26.6481,15.1594,12.78,58,8,8.79,NA,1681101089
335,pilar,-9.5972,-35.9567,22.96,90,73,0.49,BR,1681101089
336,brae,60.3964,-1.353,7.16,93,100,12.71,GB,1681101089
337,brigantine,39.4101,-74.3646,7.23,76,0,3.58,US,1681101090
338,hobyo,5.3505,48.5268,29.18,69,43,6.62,SO,1681101090
339,sibolga,1.7427,98.7792,30.12,63,87,2.43,ID,1681101090
340,matucana,-11.85,-76.4,16.08,85,100,0.5,PE,1681101091
341,seagoville,32.6396,-96.5383,18.76,82,0,2.57,US,1681100934
342,kungur,57.4368,56.9593,1.46,76,58,5.15,RU,1681101091
343,miles city,46.4083,-105.8406,12.54,37,0,5.14,US,1681101091
344,provideniya,64.3833,-173.3,-14.94,43,75,4.0,RU,1681101092
345,nanchong,30.7951,106.0847,25.89,42,94,1.07,CN,1681101090
346,north battleford,52.7834,-108.2847,3.56,75,0,4.63,CA,1681101093
347,tessalit,20.1986,1.0114,22.49,17,96,4.05,ML,1681101094
348,farragut,35.8845,-84.1535,11.28,66,0,0.0,US,1681100852
